,Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property
0,01/01/2022,"8 CHANDLERS GUILD, JAMESS ST, DUBLIN 8",Dublin 8,Dublin,"€95,000.00",Yes,No,Second-Hand Dwelling house /Apartment
1,04/01/2022,"11 THE COURTYARD, HILL ST, DUBLIN 1",Dublin 1,Dublin,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment
2,04/01/2022,"12 CASTLECURRAGH VALE, BLANCHARDSTOWN, DUBLIN 15",Dublin 15,Dublin,"€262,000.00",No,No,Second-Hand Dwelling house /Apartment
3,04/01/2022,"184 BACHELORS WALK APTS, BACHELORS WALK, DUBLIN 1",Dublin 1,Dublin,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment
4,04/01/2022,"19 MONTPELIER VIEW, JOBSTOWN, TALLAGHT DUBLIN 24",Dublin 24,Dublin,"€85,500.00",No,No,Second-Hand Dwelling house /Apartment
5,04/01/2022,"2 Cassans Way, Station Road, Lusk",,Dublin,"€361,233.00",No,Yes,New Dwelling house /Apartment
6,04/01/2022,"2 MULVEY PARK, DUNDRUM, DUBLIN 14",Dublin 14,Dublin,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment
7,04/01/2022,"34 KEMPTON WAY, NAVAN RD, DUBLIN 7",Dublin 7,Dublin,"€300,000.00",Yes,No,Second-Hand Dwelling house /Apartment
8,04/01/2022,"56 WEST RD, EAST WALL, DUBLIN 3",Dublin 3,Dublin,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment
9,04/01/2022,"6 CORNERPARK GREEN, PEAMOUNT ROAD, NEWCASTLE",,Dublin,"€312,775.00",No,Yes,New Dwelling house /Apartment
10,04/01/2022,"7 STRALEM COURT, ONGAR PARK, DUBLIN 15",Dublin 15,Dublin,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment
11,04/01/2022,"CORNARONE, INVERIN, CONNEMARA",,Dublin,"€530,000.00",No,No,Second-Hand Dwelling house /Apartment
12,05/01/2022,"108 BROADMEADOWS, SWORDS, DUBLIN",,Dublin,"€387,000.00",No,No,Second-Hand Dwelling house /Apartment
13,05/01/2022,"124 BURNELL COURT, DUBLIN 13",Dublin 13,Dublin,"€271,000.00",No,No,Second-Hand Dwelling house /Apartment
14,05/01/2022,"13 Graydon Crescent, Graydon, Newcastle",,Dublin,"€286,343.00",No,Yes,New Dwelling house /Apartment
15,05/01/2022,"13 Skylark Park Gate, St Marnocks Park, Station Road",,Dublin,"€436,123.00",No,Yes,New Dwelling house /Apartment
16,05/01/2022,"160 OXMANTOWN RD, DUBLIN 7, DUBLIN",Dublin 7,Dublin,"€388,000.00",No,No,Second-Hand Dwelling house /Apartment
17,05/01/2022,"20 OLDCOURT AVE, FERNCOURT, TALLAGHT DUBLIN 24",Dublin 24,Dublin,"€396,000.00",No,No,Second-Hand Dwelling house /Apartment
18,05/01/2022,"202 RICHMOND COURT, RICHMOND AVE SOUTH, DARTRY DUBLIN 6",Dublin 6,Dublin,"€470,000.00",No,No,Second-Hand Dwelling house /Apartment
19,05/01/2022,"227 TRIMBLESTON, GOATSTOWN ROAD, DUBLIN 14",,Dublin,"€900,000.00",No,Yes,New Dwelling house /Apartment
20,05/01/2022,"30 LANDYS COURT, HARBOUR MILL, BALBRIGGAN",,Dublin,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment
21,05/01/2022,"35 MELVILLE PARK, FINGLAS CITYSIDE, DUBLIN 11",Dublin 11,Dublin,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment
22,05/01/2022,"38 THE ATRIUM, THE STEELWORKS, FOLEY ST DUBLIN 1",Dublin 1,Dublin,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment
23,05/01/2022,"42 WOODBINE PARK, RAHENY, DUBLIN 5",Dublin 5,Dublin,"€553,500.00",No,No,Second-Hand Dwelling house /Apartment
24,05/01/2022,"5 WILLANS AVENUE, ONGAR GREEN, DUBLIN 15",Dublin 15,Dublin,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment
25,05/01/2022,"51 STILES RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€1,030,000.00",No,No,Second-Hand Dwelling house /Apartment
